y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
40.0;1.0;1866.0;1.0;1820.0;1.0;1913.0;1.0;93.0;2.0;3077.203125;1866.4981611292424;1821.35052534797;1912.2085184023395
56.0;1.0;1867.0;1.0;1822.0;1.0;1913.0;1.0;91.0;2.0;3421.778076171875;1867.1654055156444;1822.1279096800247;1912.7612053834416
72.0;1.0;1868.0;1.0;1823.0;1.0;1913.0;1.0;90.0;2.0;3171.425537109375;1867.8289715345807;1822.9015752282248;1913.31035845676
88.0;1.0;1869.0;1.0;1824.0;1.0;1914.0;1.0;90.0;2.0;3128.365234375;1868.4888915433226;1823.6715541330657;1913.8560092740856
104.0;1.0;1869.0;1.0;1824.0;1.0;1914.0;1.0;90.0;2.0;2975.142578125;1869.1451978991413;1824.4378785350418;1914.3981894872095
120.0;1.0;1870.0;1.0;1825.0;1.0;1915.0;1.0;90.0;2.0;2899.87353515625;1869.7979229593084;1825.200580574648;1914.9369307479226
136.0;1.0;1871.0;1.0;1826.0;1.0;1916.0;1.0;90.0;2.0;2775.426025390625;1870.4470990810948;1825.9596923923796;1915.4722647080155
152.0;1.0;1871.0;1.0;1827.0;1.0;1916.0;1.0;89.0;2.0;2678.7705078125;1871.0927586217722;1826.7152461287312;1916.0042230192796
168.0;1.0;1871.0;1.0;1827.0;1.0;1916.0;1.0;89.0;2.0;2617.103515625;1871.734933938612;1827.4672739241976;1916.5328373335055
184.0;1.0;1872.0;1.0;1828.0;1.0;1917.0;1.0;89.0;2.0;2452.11767578125;1872.3736573888848;1828.215807919274;1917.0581393024845
200.0;1.0;1873.0;1.0;1829.0;1.0;1918.0;1.0;89.0;2.0;2442.291748046875;1873.0089613298626;1828.960880254455;1917.580160578007
216.0;1.0;1873.0;1.0;1829.0;1.0;1918.0;1.0;89.0;2.0;2283.69677734375;1873.6408781188165;1829.7025230702357;1918.0989328118642
232.0;1.0;1874.0;1.0;1830.0;1.0;1919.0;1.0;89.0;2.0;2266.560791015625;1874.2694401130177;1830.440768507111;1918.614487655847
248.0;1.0;1875.0;1.0;1831.0;1.0;1919.0;1.0;88.0;2.0;2200.77294921875;1874.8946796697376;1831.1756487055757;1919.1268567617462
264.0;1.0;1876.0;1.0;1832.0;1.0;1920.0;1.0;88.0;2.0;2070.4482421875;1875.5166291462476;1831.9071958061245;1919.636071781353
280.0;1.0;1876.0;1.0;1833.0;1.0;1920.0;1.0;87.0;2.0;2012.8740234375;1876.1353208998191;1832.6354419492527;1920.142164366458
296.0;1.0;1876.0;1.0;1833.0;1.0;1920.0;1.0;87.0;2.0;1945.9700927734375;1876.7507872877231;1833.3604192754551;1920.6451661688525
312.0;1.0;1877.0;1.0;1834.0;1.0;1921.0;1.0;87.0;2.0;1830.39794921875;1877.3630606672311;1834.0821599252263;1921.145108840327
328.0;1.0;1878.0;1.0;1835.0;1.0;1921.0;1.0;86.0;2.0;1824.6240234375;1877.9721733956144;1834.8006960390614;1921.6420240326727
344.0;1.0;1879.0;1.0;1836.0;1.0;1922.0;1.0;86.0;2.0;1755.7886962890625;1878.5781578301442;1835.5160597574554;1922.1359433976804
360.0;1.0;1879.0;1.0;1836.0;1.0;1922.0;1.0;86.0;2.0;1711.9410400390625;1879.181046328092;1836.2282832209032;1922.626898587141
376.0;1.0;1880.0;1.0;1837.0;1.0;1923.0;1.0;86.0;2.0;1597.0277099609375;1879.780871246729;1836.9373985698994;1923.1149212528455
392.0;1.0;1881.0;1.0;1838.0;1.0;1924.0;1.0;86.0;2.0;1568.6287841796875;1880.3776649433266;1837.6434379449393;1923.600043046585
408.0;1.0;1881.0;1.0;1838.0;1.0;1924.0;1.0;86.0;2.0;1516.0689697265625;1880.9714597751558;1838.3464334865175;1924.0822956201498
424.0;1.0;1881.0;1.0;1839.0;1.0;1924.0;1.0;85.0;2.0;1473.8572998046875;1881.5622880994886;1839.0464173351288;1924.5617106253314
440.0;1.0;1882.0;1.0;1840.0;1.0;1925.0;1.0;85.0;2.0;1432.0029296875;1882.1501822735956;1839.7434216312686;1925.0383197139208
456.0;1.0;1883.0;1.0;1841.0;1.0;1926.0;1.0;85.0;2.0;1379.3526611328125;1882.7351746547483;1840.4374785154312;1925.5121545377085
