X0,Y0
5,219.151
7,176.212
9,195.964
11,225.427
13,284.665
15,407.921
17,500.994
19,476.090
21,398.772
23,418.739
25,407.963
27,397.136
29,331.969
31,295.885
33,277.353
35,251.838
37,199.605
39,160.471
41,130.047
43,140.538
45,156.667
47,173.715
49,182.498
51,186.354
53,175.054
55,176.275
57,173.923
59,154.579
61,148.402
63,143.366
65,136.934
67,128.416
69,116.102
