y-position;y-error;x-position;x-error;left-position;left-error;right-position;right-error;width;width-error;threshold;fitted-x-position;fitted-left-position;fitted-right-position
39.90922546386719;0.0;3079.2138671875;0.0;2888.0;0.0;3278.0;0.0;390.0;0.0;0.0;3078.4121525207956;2884.768392163198;3274.7918976132123
71.9089126586914;0.0;3077.8232421875;0.0;2878.0;0.0;3278.0;0.0;400.0;0.0;0.0;3077.5018232762477;2884.0236116896967;3273.691282462554
103.91844940185547;0.0;3077.15185546875;0.0;2888.0;0.0;3282.0;0.0;394.0;0.0;0.0;3076.585713940648;2883.279483344296;3272.5755850376527
135.919921875;0.0;3076.2353515625;0.0;2878.0;0.0;3270.0;0.0;392.0;0.0;0.0;3075.664735983646;2882.536650672853;3271.44610835052
167.9266357421875;0.0;3075.0126953125;0.0;2876.0;0.0;3268.0;0.0;392.0;0.0;0.0;3074.7389064684216;2881.7950317435293;3270.3030646321236
199.92539978027344;0.0;3073.934326171875;0.0;2882.0;0.0;3266.0;0.0;384.0;0.0;0.0;3073.809006716727;2881.0551590175232;3269.1476063878135
231.91981506347656;0.0;3072.915283203125;0.0;2888.0;0.0;3276.0;0.0;388.0;0.0;0.0;3072.8753335526744;2880.3171752199432;3267.980290345723
263.9261474609375;0.0;3071.782470703125;0.0;2880.0;0.0;3262.0;0.0;382.0;0.0;0.0;3071.9378101040047;2879.580932796311;3266.801198553587
295.9332275390625;0.0;3071.028564453125;0.0;2882.0;0.0;3264.0;0.0;382.0;0.0;0.0;3070.997160775925;2878.846916943825;3265.61141573481
327.9313659667969;0.0;3070.17333984375;0.0;2888.0;0.0;3266.0;0.0;378.0;0.0;0.0;3070.0540706821234;2878.1155759915455;3264.4119858906192
359.94512939453125;0.0;3069.260986328125;0.0;2886.0;0.0;3268.0;0.0;382.0;0.0;0.0;3069.108214347378;2877.3865763626018;3263.20266521461
391.9352722167969;0.0;3067.876708984375;0.0;2884.0;0.0;3264.0;0.0;380.0;0.0;0.0;3068.1611511753454;2876.6610376274516;3261.985619175023
423.9337158203125;0.0;3067.0986328125;0.0;2872.0;0.0;3242.0;0.0;370.0;0.0;0.0;3067.21233653252;2875.938460614489;3260.7603190266645
455.93817138671875;0.0;3066.366455078125;0.0;2878.0;0.0;3266.0;0.0;388.0;0.0;0.0;3066.262236427863;2875.219126101407;3259.527526796066
487.9472961425781;0.0;3065.1533203125;0.0;2876.0;0.0;3264.0;0.0;388.0;0.0;0.0;3065.3112895246136;2874.503293054461;3258.287970626147
519.9508056640625;0.0;3064.446044921875;0.0;2868.0;0.0;3262.0;0.0;394.0;0.0;0.0;3064.360200690629;2873.7914183719613;3257.042729036285
551.9483642578125;0.0;3063.2578125;0.0;2868.0;0.0;3250.0;0.0;382.0;0.0;0.0;3063.4093791948685;2873.0837344072675;3255.7924979520117
583.9368896484375;0.0;3062.69921875;0.0;2868.0;0.0;3260.0;0.0;392.0;0.0;0.0;3062.459315398636;2872.3805332781467;3254.5380806406147
615.9459838867188;0.0;3061.559326171875;0.0;2866.0;0.0;3246.0;0.0;380.0;0.0;0.0;3061.5095295667948;2871.6813935603354;3253.278993579913
647.9588012695312;0.0;3060.015625;0.0;2866.0;0.0;3248.0;0.0;382.0;0.0;0.0;3060.560922010123;2870.9869154816456;3252.0165752137204
679.9610595703125;0.0;3059.087890625;0.0;2876.0;0.0;3256.0;0.0;380.0;0.0;0.0;3059.614314857964;2870.2976344380463;3250.7520697902805
711.9406127929688;0.0;3058.3359375;0.0;2864.0;0.0;3254.0;0.0;390.0;0.0;0.0;3058.670463467222;2869.6140310238607;3249.486640103785
743.97314453125;0.0;3057.30322265625;0.0;2876.0;0.0;3238.0;0.0;362.0;0.0;0.0;3057.7275367044895;2868.934722038284;3248.217969323463
775.960693359375;0.0;3056.59033203125;0.0;2870.0;0.0;3234.0;0.0;364.0;0.0;0.0;3056.7888182213755;2868.262013901096;3246.950616430099
807.9434814453125;0.0;3055.355224609375;0.0;2864.0;0.0;3250.0;0.0;386.0;0.0;0.0;3055.8535196366097;2867.5952742919903;3245.6836678673503
839.953125;0.0;3054.6669921875;0.0;2862.0;0.0;3248.0;0.0;386.0;0.0;0.0;3054.921118868286;2866.934077143545;3244.4165510468238
871.9723510742188;0.0;3053.132568359375;0.0;2862.0;0.0;3246.0;0.0;384.0;0.0;0.0;3053.992524921572;2866.2790168910187;3243.150631686179
903.9727783203125;0.0;3051.843017578125;0.0;2860.0;0.0;3228.0;0.0;368.0;0.0;0.0;3053.068958480451;2865.630898530346;3241.8877112538953
935.9592895507812;0.0;3052.447509765625;0.0;2860.0;0.0;3230.0;0.0;370.0;0.0;0.0;3052.1506706325895;2864.989839940668;3240.6282728389638
967.9908447265625;0.0;3050.792724609375;0.0;2858.0;0.0;3242.0;0.0;384.0;0.0;0.0;3051.2363755322667;2864.35489665717;3239.370679857762
999.9622802734375;0.0;3050.22802734375;0.0;2862.0;0.0;3242.0;0.0;380.0;0.0;0.0;3050.329469919162;2863.7283750614165;3238.119737573664
1031.9622802734375;0.0;3049.034423828125;0.0;2860.0;0.0;3236.0;0.0;376.0;0.0;0.0;3049.4278287116963;2863.1087534297285;3236.8726490546437
1063.96044921875;0.0;3048.47412109375;0.0;2858.0;0.0;3240.0;0.0;382.0;0.0;0.0;3048.53271490195;2862.4968565268728;3235.6312844493727
1095.9530029296875;0.0;3047.36279296875;0.0;2870.0;0.0;3238.0;0.0;368.0;0.0;0.0;3047.644631005419;2861.8929808790663;3234.3964679018504
