X0,Y0
5,1388.711
7,1270.012
9,1412.908
11,1624.094
13,1834.471
15,2124.859
17,2453.656
19,2721.366
21,3004.574
23,3326.549
25,3422.578
27,3139.463
29,2624.414
31,2169.604
33,1776.732
35,1553.166
37,1361.491
39,1206.038
41,1098.323
43,1084.059
45,1161.958
47,1244.706
49,1276.802
51,1251.218
53,1249.574
55,1297.659
57,1328.218
59,1278.054
61,1187.807
63,1108.211
65,1035.742
67,977.012
69,925.226
