expArray	meanArray
0.001	78.497
0.002	78.642
0.003	78.654
0.004	90.861
0.005	247.886
0.006	248.447
0.007	215.577
0.008	257.002
0.009	298.595
0.010	339.457
0.020	753.321
0.030	1166.857
0.040	1580.990
0.050	1994.264
0.060	2409.023
0.070	2824.318
0.080	3237.943
0.090	3654.275
0.100	4067.452
