expArray	meanArray
0.001	158.737
0.002	158.733
0.003	158.804
0.004	171.010
0.005	327.756
0.006	254.405
0.007	295.651
0.008	337.039
0.009	378.490
0.010	420.232
0.020	834.346
0.030	1248.723
0.040	1662.953
0.050	2076.919
0.060	2491.474
0.070	2906.243
0.080	3323.261
0.090	3738.240
0.100	4155.648
