expArray	meanArray
0.020	509.926
0.030	1000.872
0.040	968.724
0.055	880.274
0.050	1047.665
0.065	1097.265
0.060	950.992
0.075	1518.775
0.070	1266.824
0.085	2156.832
0.080	1817.609
0.095	2534.219
0.090	2342.689
0.110	3110.557
0.120	3476.692
0.130	3935.127
0.140	4352.853
0.150	4747.112
0.160	5178.151
0.170	5622.888
0.180	6047.048
0.190	6450.072
0.100	2660.868
