expArray	meanArray
0.001	177.404
0.002	177.811
0.003	177.772
0.004	189.723
0.005	231.877
0.006	273.908
0.007	316.033
0.008	358.238
0.009	399.932
0.010	442.952
0.020	863.824
0.030	1284.242
0.040	1705.833
0.050	2126.407
0.060	2548.180
0.070	2969.097
0.080	3392.809
0.090	3813.742
0.100	4236.432
