expArray	meanArray
0.001	170.777
0.002	170.675
0.003	170.700
0.004	182.217
0.005	223.936
0.006	265.005
0.007	341.508
0.008	348.163
0.009	389.715
0.010	431.320
0.020	844.774
0.030	1259.367
0.040	1674.491
0.050	2088.670
0.060	2504.501
0.070	2918.976
0.080	3334.943
0.090	3750.163
0.100	4165.641
