expArray	meanArray
0.001	76.776
0.002	77.121
0.003	77.206
0.004	89.526
0.005	131.364
0.006	247.430
0.007	214.680
0.008	256.197
0.009	297.732
0.010	339.507
0.020	755.035
0.030	1169.540
0.040	1585.403
0.050	1999.416
0.060	2415.637
0.070	2830.780
0.080	3246.683
0.090	3664.288
0.100	4080.421
