 	ELoss	Intensity
303	5.198	24.461
304	5.228	24.574
305	5.258	23.996
306	5.289	24.418
307	5.319	24.941
308	5.349	25.254
309	5.379	27.617
310	5.409	26.723
311	5.440	25.785
312	5.470	25.680
313	5.500	25.367
314	5.530	25.359
315	5.560	24.258
316	5.591	25.281
317	5.621	25.348
318	5.651	23.969
319	5.681	24.938
320	5.712	25.207
321	5.742	25.711
322	5.772	24.852
323	5.802	25.809
324	5.832	26.168
325	5.863	26.246
326	5.893	25.398
327	5.923	25.473
328	5.953	26.812
329	5.984	26.945
330	6.014	26.195
331	6.044	26.535
332	6.074	27.340
333	6.104	27.301
334	6.135	25.156
335	6.165	25.410
336	6.195	26.512
337	6.225	27.289
338	6.256	25.637
339	6.286	26.453
340	6.316	26.551
341	6.346	25.648
342	6.376	26.801
343	6.407	26.746
344	6.437	26.734
345	6.467	26.391
346	6.497	25.859
347	6.528	25.582
348	6.558	27.988
349	6.588	26.500
350	6.618	27.418
351	6.648	27.980
352	6.679	27.629
353	6.709	27.258
354	6.739	28.496
355	6.769	29.078
356	6.800	28.652
357	6.830	28.488
358	6.860	29.449
359	6.890	29.789
360	6.920	30.398
361	6.951	29.000
362	6.981	28.207
363	7.011	27.969
364	7.041	28.551
365	7.071	28.309
366	7.102	29.750
367	7.132	28.598
368	7.162	30.281
369	7.192	29.488
370	7.223	30.203
371	7.253	29.418
372	7.283	30.762
373	7.313	29.543
374	7.343	30.895
375	7.374	31.176
376	7.404	31.469
377	7.434	32.105
378	7.464	32.832
379	7.495	30.918
380	7.525	31.121
381	7.555	32.707
382	7.585	33.531
383	7.615	32.168
384	7.646	32.453
385	7.676	33.867
386	7.706	32.340
387	7.736	32.961
388	7.767	33.344
389	7.797	32.695
390	7.827	33.980
391	7.857	34.871
392	7.887	34.621
393	7.918	34.801
394	7.948	34.863
395	7.978	33.980
396	8.008	34.844
397	8.039	34.566
398	8.069	35.379
399	8.099	35.113
400	8.129	36.277
401	8.159	35.242
402	8.190	36.637
403	8.220	36.152
404	8.250	35.730
405	8.280	35.609
406	8.311	36.648
407	8.341	36.105
408	8.371	37.094
409	8.401	36.840
410	8.431	37.379
411	8.462	36.723
412	8.492	36.840
413	8.522	35.270
414	8.552	37.051
415	8.582	37.121
416	8.613	36.648
417	8.643	37.371
418	8.673	39.602
419	8.703	38.445
420	8.734	39.508
421	8.764	38.176
422	8.794	37.484
423	8.824	37.547
424	8.854	38.715
425	8.885	38.734
426	8.915	40.016
427	8.945	39.516
428	8.975	39.105
429	9.006	38.207
430	9.036	39.906
431	9.066	39.664
432	9.096	41.164
433	9.126	41.133
434	9.157	41.258
435	9.187	41.492
436	9.217	42.195
437	9.247	42.312
438	9.278	42.770
439	9.308	41.711
440	9.338	42.488
441	9.368	41.039
442	9.398	40.070
443	9.429	41.086
444	9.459	43.516
445	9.489	43.273
446	9.519	45.117
447	9.550	41.809
448	9.580	41.621
449	9.610	42.375
450	9.640	44.930
451	9.670	45.668
452	9.701	43.656
453	9.731	42.379
454	9.761	42.734
455	9.791	43.414
456	9.822	44.309
457	9.852	43.391
458	9.882	44.945
459	9.912	44.348
460	9.942	45.520
461	9.973	43.688
462	10.003	44.164
463	10.033	43.633
464	10.063	43.316
465	10.093	45.617
466	10.124	46.812
467	10.154	47.301
468	10.184	47.328
469	10.214	48.656
470	10.245	47.879
471	10.275	49.477
